Product ,Product ,unit of the price,Constant prices,Years,Reference,Remarks
stro (voor dakbedekking),timepieces,Brabantse gulden,,1759-1877,"RvF, 5748-5891",
papier (gelijmd),whisks,Brabantse gulden,,1759-1878,"RvF, 5748-5892",
vliegenmeppers,briefcases,Brabantse gulden,,1759-1879,"RvF, 5748-5893",
blauwe stenen kuipen,fire screens,Brabantse gulden,,1759-1880,"RvF, 5748-5894",
"stenen (bewerkte gepolijste (schouwen, beelden))",sword ties etc,Brabantse gulden,,1759-1881,"RvF, 5748-5895",
geitenpaté,scientific instruments,Brabantse gulden,,1759-1882,"RvF, 5748-5896",
raspen,mathematical instruments,Brabantse gulden,,1759-1883,"RvF, 5748-5897",
vliegwielen,optical instruments,Brabantse gulden,,1759-1884,"RvF, 5748-5898",
riet (indisch),medicinal instruments,Brabantse gulden,,1759-1885,"RvF, 5748-5899",
schoenen (oude),drums,Brabantse gulden,,1759-1886,"RvF, 5748-5900",
sandalen,jeux de camagnolle',Brabantse gulden,,1759-1887,"RvF, 5748-5901",
suiker (fruits à devises et à casser),firework,Brabantse gulden,,1759-1888,"RvF, 5748-5902",
tabaksplanten,tallow candles,Brabantse gulden,,1759-1889,"RvF, 5748-5903",
gewone aarde,sulfur,Brabantse gulden,,1759-1890,"RvF, 5748-5904",
neteldoek,gunpowder,Brabantse gulden,,1759-1891,"RvF, 5748-5905",
lijnwaad (wit),various weaponry,Brabantse gulden,,1759-1892,"RvF, 5748-5906",
pluksel,silver coinage,Brabantse gulden,,1759-1893,"RvF, 5748-5907",
glazen (Bohemen),gold and silver (piastres),Brabantse gulden,,1759-1894,"RvF, 5748-5908",
glas (voor brillen en horloges),,Brabantse gulden,,1759-1895,"RvF, 5748-5909",
everjongen,,Brabantse gulden,,1759-1896,"RvF, 5748-5910",
gedistilleerde likeuren,,Brabantse gulden,,1759-1897,"RvF, 5748-5911",
