1774,Franse termen,,I,Controletabel Invoer,5776,E,Controletabel Export,5776,T,Controletabel Transit,5776,E-I,,Brussel Invoer,Brussel Uitvoer,Brussel Transit,Tienen Invoer,Tienen Uitvoer,Tienen Transit,Turnhout Invoer,Turnhout Uitvoer,Turnhout Transit,Antwerpen Invoer,Antwerpen Uitvoer,Antwerpen Transit,St.-Phillipe Invoer,St.-Phillipe Uitvoer,St.-Phillipe Transit,Gent Invoer,Gent Uitvoer,Gent Transit,Brugge Invoer,Brugge Uitvoer,Brugge Transit,Oostende Invoer,Oostende Uitvoer,Oostende Transit,Nieuwpoort Invoer,Nieuwpoort Uitvoer,Nieuwpoort Transit,Sint-Niklaas Invoer,Sint-Niklaas Uitvoer,Sint-Niklaas Transit,Kortrijk Invoer,Kortrijk Uitvoer,Kortrijk Transit,Doornik Invoer,Doornik Uitvoer,Doornik Transit,Bergen Invoer,Bergen Uitvoer,Bergen Transit,Chimay Invoer,Chimay Uitvoer,Chimay Transit,Charleroi Invoer,Charleroi Uitvoer,Charleroi Transit,Namen Invoer,Namen Uitvoer,Namen Transit,Ieper Invoer,Ieper Uitvoer,Ieper Transit,Luxemburg Invoer,Luxemeburg Uitvoer,Luxemburg Transit,St.Vith Invoer,St. Vith Uitvoer,St.Vith Transit,Marche Invoer,Marche Uitvoer,Marche Transit,Herve Invoer,Herve Uitvoer,Herve Transit
zout (vr. geneesk. doeleind.) & magnesiumsulfaat,,pond,"0,00","0,00",,"0,00","0,00",,"0,00","0,00",,"0,00",niet in 5776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
engels zout,,pond,"12,00","12,00",,"0,00","0,00",,"0,00","0,00",,"-12,00",,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
salurne-zout,,pond,"0,00","0,00",,"0,00","0,00",,"0,00","0,00",,"0,00",niet in 5776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
antimonium,,pond,"2440,00","2440,00",,"0,00","0,00",,"0,00","0,00",,"-2440,00",,,,,,,,,,,,,,2311,,,,,,,,,,,,,,,,,,,,,104,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,
arsenicum,,pond,"1122,00","1122,00",,"0,00","0,00",,"510,00","510,00",,"-1122,00",,,,26,25,,,,,,,,,1097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,484,,,,,,,,,
zwavelzuur (vitriool),,pond,"3073,00","3073,00",,"3,00","3,00",,"1547,00","1547,00",,"-3070,00",,120,,,,,,121,,,,,,2751,,,,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1547,,,,,,,,,
anijsolie,,gulden,"14,00","14,00",,"0,00","0,00",,"0,00","0,00",,"-14,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,
laurierolie,,pond,"365,00","365,00",,"0,00","0,00",,"0,00","0,00",,"-365,00",,,,,,,,,,,,,,15,,,,,,,,,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harlem-olie,,gulden,"221,00","221,00",,"0,00","0,00",,"0,00","0,00",,"-221,00",,,,,,,,41,,,,,,103,,,29,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
terpentijnolie,,pond,"16124,50","16124,50",,"0,00","0,00",,"2354,00","2354,00",,"-16124,50",,,,,,,,,,,,,,12470,,,325,,,1587,,,760,,,"974,5",,,,,,,,,,,,,,,,,54,,,,,,,4,,,,,2300,4,,,,,,,,
vitrioololie,,pond,"6872,00","6872,00",,"0,00","0,00",,"8234,00","8234,00",,"-6872,00",,,,6800,,,,12,,,,,,5815,,,750,,,200,,,40,,,,,,10,,,5,,,25,,,,,,,,15,,,,10,,,5,,,,,,,,,,,1294,,,125
medicinale olie,,gulden,"0,00","0,00",,"0,00","0,00",,"0,00","0,00",,"0,00",niet in 5776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
koperrood (stof),,pond,"746,00","746,00",,"18,00","18,00",,"9,00","9,00",,"-728,00",,83,18,,,,,,,,,,,,,,,,,640,,,,,,,,,,,,,,,1,,,18,,,,,9,,,,,,,,,,,,,,,,4,,,,,
alo_,,pond,"17,50","17,50",,"0,00","0,00",,"0,00","0,00",,"-17,50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sterk water,,gulden,"2919,00","2919,00",,"90,00","90,00",,"448,00","448,00",,"-2829,00",,,,,80,,,,,,,,,1601,,,857,,,35,,,7,,,141,,,60,,,,,,28,,,55,,,,,,,,,6,,,,,,,,30,,,,19,90,410,30,,8
mineraalwater,,gulden,"5375,00","5375,00",,"687,00","687,00",,"11517,00","11517,00",,"-4688,00",,120,95,,6,,3193,909,,,18,,,1442,,,1011,525,,7,,,18,,,,,,40,,,,,,,,,,6,,,,,,9,8,270,36,272,,,,731,9,1810,695,7,4027,108,,1285,,,922
medicinaal water,,gulden,"616,00","616,00",,"88,00","88,00",,"347,00","347,00",,"-528,00",,36,67,,,,,417,,347,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,105,,,3,3,
reukwater en kwintessens,,gulden,"5605,00","5605,00",,"947,00","947,00",,"3299,00","3299,00",,"-4658,00",,520,720,68,78,,,158,,,,,,38,,,,,,846,,130,224,,,,,,,9,,1200,,,440,,27,311,28,,,,,,,,1412,1,,45,,,138,3,66,9,,3008,129,,,57,186,
wondewater,,aam,"0,00","0,00",,"0,00","0,00",,"76,75","76,75",,"0,00",,,,"76,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,25",,,,,,,,,,,,,,,
schildpadschilden,,pond,"645,00","645,00",,"302,00","302,00",,"0,00","0,00",,"-343,00",,,,,,,,,,,,,,641,,,4,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
eikeschors,,kar,"37,75","37,75",,"1203,50","1203,50",,"134,88","134,88",,"1165,75",,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,1,"1,5",,132,,,,"34,25","1105,5","1,875"
eikeschors,,viertel,"12037,08","12037,08",,"16445,20","16445,21",,"12995,10","12995,10",,"4408,12",,,4,,"300,5",62,,17,,,,,,"2,2",,,,,,,,,,,,,,,,,,,"1,5",,11,"439,5",,124,"168,5",,"563,6",,"746,8","466,333333",14,200,10180,"1665,5",10154,"0,75","3465,25",1503,324,,,"31,2","9528,4","384,8","16,5","1096,5625","6,5",,,
amaril,,pond,"34,00","34,00",,"24,00","24,00",,"0,00","0,00",,"-10,00",,6,24,,,,,,,,,,,,,,,,,25,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
leder (geverfd voor bovenschoenen),,dozijn,"0,00","0,00",,"5126,00","5126,00",,"0,00","0,00",,"5126,00",,,3510,,,,,,,,,1616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wierook,,pond,"14314,00","14314,00",,"143,50","143,50",,"419,00","419,00",,"-14170,50",,,"52,5",,3,21,,,,,,48,,6469,,320,410,,,4646,,,1055,,,,,,,,,22,,,29,,,6,16,,,,59,,,,1115,6,,,,,501,,40,18,,,40,,,,,
inkt (gewone),,pond,"0,00","0,00",,"0,00","0,00",,"0,00","0,00",,"0,00",niet in 5776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inkt (gewone),,gulden,"0,00","0,00",,"0,00","0,00",,"0,00","0,00",,"0,00",niet in 5776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inkt (drukkers-),,gulden,"166,00","166,00",,"311,00","311,00",,"0,00","0,00",,"145,00",,19,311,,25,,,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,
inkt (chinese),,pond,"9,50","9,50",,"1,00","1,00",,"0,00","0,00",,"-8,50",,,,,,,,1,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,"0,5",1,,,,,,,,,,,,,,,,,,,,,,,,,
kruiden (gemengd),,pond,"5591,50","5591,50",,"4865,38","4865,38",,"10452,25","10452,25",,"-726,12",,"77,25","1132,75",25,21,10,,,,,,102,,"2228,5",,,45,75,,662,,,210,,,"7,5",,,"463,25",,,,2838,,2,,,1,350,,,15,1099,,"243,625",,55,,,,,,"168,75",75,7528,1108,,"56,5","514,75",21,"1740,25","27,5",3,"3,5"
kruiden (gemengd),,gulden,"4090,00","4090,00",,"546,00","546,00",,"387,00","387,00",,"-3544,00",,,,,,3,,112,3,,47,489,,,,94,,,,18,,,,,,,,,,,,,14,,,,,,1,,,3,,,,,,,,,16,,2248,17,,459,,247,1206,,46,,,
vanille,,pond,"88,50","88,50",,"0,00","0,00",,"115,00","115,00",,"-88,50",,,,44,,,,,,,,,,"28,5",,,,,,,,,60,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,
kaneel,,pond,"7729,38","7729,38",,"17,38","17,38",,"2885,00","2885,00",,"-7712,00",,,,190,"0,75",,,,,,,,,"5441,5",,179,2,,,"875,625",,200,169,,,26,,,65,,,121,,,18,,,7,"0,125",,,"1,5",,,,,"7,25","15,75",,164,,,2,,170,,,,"0,5",,2136,"829,75",,10
kruidnagel,,pond,"4634,88","4634,88",,"23,25","23,25",,"100,00","100,00",,"-4611,63",,,,,,,,,,,"0,125",,,"3957,5",,99,92,,,"218,75",,,33,,,150,,,83,,,,,,,,,,,,,,,,"0,75",,"0,25","22,5",1,,,,,,,,,,,,,"100,25",,
muskaatnoten en -bladeren,,pond,"23541,00","23541,00",,"8,50","8,50",,"366,00","366,00",,"-23532,50",,,,,"0,75",,,2,,,1,,,"18954,5",,"361,5","454,125",,,"2499,875",,,1183,,,148,,,"148,5",,,,,,,,,,,,,"0,125",4,,"1,375",,"10,25",7,,,,,,,,,,"0,5",,,,139,,
gember,,pond,"3352,50","3352,50",,"2326,00","2326,00",,"6755,00","6755,00",,"-1026,50",,,,20,92,,,,,,,,,2196,2314,,,,,385,,,10,,5770,99,,,,,,,,,,,,,,,,,,,1,,2,11,,20,,,25,,950,,,12,"2,5",,3,521,,
peper (spaanse),,pond,"10704,00","10704,00",,"3,00","3,00",,"11219,00","11219,00",,"-10701,00",,175,,1270,"168,5",,,,,,,,,215,,4363,"0,5",,,9864,,,16,,4240,25,,,,,,,,,,,,,,,,,,,3,,,,,,,,240,,1336,,,,,,10,,,
peper,,pond,"226831,50","226831,50",,"8982,50","8982,50",,"87490,50","87490,50",,"-217849,00",,"1229,5",180,29022,"534,5",28,,6,,,2,,,155812,7661,,"1513,5",,,59517,4,,3340,,,66,,,,,,1,,,10,129,,,"151,5",,,492,144,1,"132,5","0,5",487,"144,5",,,1,,"1725,5",27,56766,12,,600,"1360,5",22,958,1214,10,
peper (kleine of senegalese),,pond,"80,00","80,00",,"0,00","0,00",,"0,00","0,00",,"-80,00",,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,18,,,4,,,,,,,,,,,,30,,
saffraan,,pond,"4212,52","4212,52",,"84,31","84,31",,"679,00","679,00",,"-4128,21",,1508,"1,5",,,"0,0625",,,,,,"4,5",,"71,0833333333",28,,"32,625",,,48,,,36,,,1,,,"29,125",,,"1711,3125",,600,"11,75",,,513,"0,25",,,,,,,,"0,5",,,65,,,,,,,,,81,50,79,"104,125",,
spelden,,pond,"16495,69","16495,69",,"837,13","837,13",,"2829,25","2829,25",,"-15658,56",,"350,125","139,5","8,5",2,,,2,,,208,519,,"798,25",,,,2,,"1710,5",,,344,,712,"14,75",,,,,,"2712,5",,307,"3759,375",,,"1587,25",17,,1,,"938,5",,,,"2,5",,"0,25","779,5",,,2601,7,123,73,,,"1197,75",,,"352,1875","152,625",740
sponzen,,pond,"1203,69","1203,69",,"0,00","0,00",,"225,00","225,00",,"-1203,69",,4,,,,,,"940,1875",,225,,,,72,,,,,,"71,25",,,12,,,,,,,,,,,,"86,25",,,1,,,,,,,,,,,,17,,,,,,,,,,,,,,
tin (in blok),,pond,"236756,00","236756,00",,"1146,00","1146,00",,"73016,00","73016,00",,"-235610,00",,,965,,"11,5",,,577,,,466,,,90885,,,,,,132571,,,9075,,,,,,,,,19,,,49,,,230,,,5,144,,,,,"1,5",,,14,,,2209,,72472,602,37,200,11,,344,30,,
tin (bewerkt),,pond,"25832,25","25832,25",,"11621,50","11611,50",,"705,25","705,25",,"-14210,75",,649,5698,6,"1397,25",568,,498,109,,"143,5",308,,2385,,,3378,85,,"1484,5",84,,511,,,37,25,,124,42,,210,186,20,"1018,25",168,,"339,75",254,,"46,5","40,5",70,418,546,16,1665,674,196,"168,5",240,,4867,783,8,"2185,5",92,89,"3484,5",1629,249,822,80,"51,25"
soudeersel,,pond,"0,00","0,00",,"25,00","0,00",,"0,00","0,00",,"25,00",niet in 5776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zijden stoffen (verguld),,pond,"387,20","387,11",,"53,81","53,81",,"18,81","18,81",,"-333,39",,"112,625","34,3125","17,3125","25,25",,,,,,14,,,"0,375",,,,12,,"0,25","1,5",,,,,1,,,,,,"60,875",,,"38,5",2,,"65,359375",2,,,,,,,"1,5","8,75",1,,"9,125",,,,,,50,,,,,,1,1,
zijden stoffen,,pond,"14395,89","14396,02",,"2240,88","2240,88",,"4380,19","4380,19",,"-12155,01",,7825,577,"1456,1875","143,375",8,52,"224,625",,,"141,375",,,"242,9375",,,"69,625","41,375",,"44,1875",4,,"150,5","1,5",,"19,71875",,,"4,8125",,,"1769,46875",192,"60,5","1105,140625",1309,,"2279,4375",58,"7,75",,,"54,5",,,23,"107,875",50,"2,25","163,9375",,,"19,5",,9,"2,5",,2687,"0,5",,28,"81,5",,
zijden stoffen,,stuk,"2,00","2,00",,"10,00","10,00",,"2331,00","2331,00",,"8,00",,,"3,5",2331,,,,,"5,5",,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
zijden stoffen,,el,"7245,75","7245,75",,"43418,50","43418,50",,"537,50","537,50",,"36172,75",,58,19,4,32,65,,56,75,,160,43015,,,,,,54,,70,57,,,,,,,,2,3,,,,143,,,,"16,5",49,,,,9,,,,,,,,,,"2756,25",,141,"66,5",,"232,5",2533,3,5,"1495,5","78,5",3
zijden zakdoeken,,aantal,"8210,00","8210,00",,"341,00","341,00",,"2500,00","2500,00",,"-7869,00",,,,506,28,17,,5,15,,,,,,,,,,,,8,,18,,,,,,,,,,,,,,,1,8,,,12,,,,,4,,,1,,,2175,200,,3227,,1868,336,52,115,2415,29,11
zijden zakdoeken,,gulden,"0,00","0,00",,"0,00","0,00",,"0,00","0,00",,"0,00",niet in 5776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zijde (resten en stalen),,gulden,"468,00","468,00",,"0,00","0,00",,"150,00","150,00",,"-468,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389,,,,,,4,,,,,,3,,,,,,,,,,,,,,,72,,150
stoffen van zijde en katoen,,stuk,"0,00","0,00",,"148,00","148,00",,"171,00","171,00",,"148,00",,,144,171,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stoffen van zijde en katoen,,el,"51512,00","51512,00",,"692,50","692,50",,"5217,50","5217,50",,"-50819,50",,"3227,5",11,,29,,,"2744,5",,,2472,321,,3791,,,41,,,638,"5,5",,3436,,,,,,66,84,,29597,,"5200,5",1923,,,"482,25",135,,,,7,,,,"57,25",,,"1208,5",,,108,136,,35,,10,1656,,,,,
stoffen van zijde en garen,,stuk,"21,00","21,00",,"4,50","4,50",,"0,00","0,00",,"-16,50",,21,"4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stoffen van zijde en garen,,el,"17255,75","17255,75",,"178,50","178,50",,"2094,00","2094,00",,"-17077,25",,2165,,212,,,,1014,6,,457,,,1278,,,3,23,,237,74,,320,,,,,,288,"30,5",,1441,40,1325,1957,,,3735,,,,,,,5,,"89,25",,,74,,,,,,,,264,"338,5",,293,3859,,
stoffen van zijde en wol,,stuk,"1,00","1,00",,"22,00","22,00",,"8,00","8,00",,"21,00",,,22,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stoffen van zijde en wol,,el,"1421,25","1421,25",,"45,00","45,00",,"7,00","7,00",,"-1376,25",,,,,,,,,,,,,,412,,,,,,890,,,,,,,,,30,,,,,7,,,,,,,,,,,27,,"60,25",,,,,,5,,,24,,,,18,,,,
stoffen van garen en katoen,,stuk,"0,00","0,00",,"4,00","4,00",,"0,00","0,00",,"4,00",,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stoffen van garen en katoen,,el,"20961,50","20961,50",,"1232,00","1232,00",,"404,50","404,50",,"-19729,50",,4693,,,5,,,212,,,88,,,3925,,,32,,,1169,,,885,,,"11,5",,,,,,1130,,"404,5","437,5",,,6324,72,,,,,,,,12,,,464,1160,,615,,,,,,"928,5",,,30,,
stoffen van garen en wol,,stuk,"0,00","0,00",,"2,00","2,00",,"118,00","118,00",,"2,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stoffen van garen en wol,,el,"19985,00","19985,00",,"500,00","500,00",,"6796,00","6796,00",,"-19485,00",,,20,,19,25,,,,,14,,,,,,7,70,,22,,,,,,,,,,,,,,2940,66,,,55,162,,,139,,,,,27,,,,,,8389,51,,10017,15,3840,49,,16,1320,18,
stoffen van garen en geitewol,,stuk,"0,00","0,00",,"0,00","0,00",,"0,00","0,00",,"0,00",niet in 5776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stoffen van garen en geitewol,,el,"0,00","0,00",,"0,00","0,00",,"0,00","0,00",,"0,00",niet in 5776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stoffen van zuivere wol,,stuk,"171,75","171,75",,"611,25","611,25",,"6336,00","6336,00",,"439,50",,20,"191,5","3891,5",10,16,,1,10,,17,,,,,,,,,,2,,,,,,1,,,,,,32,1988,,,,"123,75","7,25",,,,,,,"406,5",,,,,"319,5",,,,,,,,,3,"36,5",,29,"13,5"
stoffen van zuivere wol,,el,"591122,00","591122,00",,"24747,75","24747,75",,"143120,00","143120,00",,"-566374,25",,9660,"184,75",5,1608,"831,5",,"16943,25",560,,"3845,5","10,25",,43576,,,903,562,,"1508,625",65,,7601,,,2417,2,,"2253,25",112,,43736,45,"57131,5",58478,"1586,5",162,32938,"4315,5",,"105,5","2931,5",39558,12170,4423,"3043,5","9049,25",4775,2204,"17080,75",1478,204,"141818,125",620,1489,"71548,25","33,5",37472,"55200,75","1260,25",1606,"58681,75",952,245
ettemijn,,stuk,"158,88","158,88",,"0,00","0,00",,"0,00","0,00",,"-158,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"158,375",,,,,,"0,5",,,,,
ettemijn,,el,"2825,50","2825,50",,"202,00","202,00",,"1798,00","1798,00",,"-2623,50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,,,,24,26,22,,116,,,,,,"1102,5",,360,,,,1581,,1414,,,
baste en foulard,,stuk,"217,00","217,00",,"12,00","12,00",,"1677,00","1677,00",,"-205,00",,,2,1652,,,,,,,217,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,2,,,,,,,,,,25,,,
baste en foulard,,el,"54303,75","54303,75",,"435,00","435,00",,"18,00","18,00",,"-53868,75",,254,14,,"7,5",13,,30,,,"4543,5",,,14277,,,25,,,5567,31,,"9281,25",116,,,,,"2001,5",88,,,,,4392,109,,,15,,,,,,,,7339,49,12,46,,,,,6,,,,,,,6540,,
katoenfluweel,,stuk,"0,00","0,00",,"35,50","35,50",,"3931,00","3931,00",,"35,50",,,"32,5",3917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,14,,,
katoenfluweel,,el,"28852,00","28852,00",,"1043,00","1043,00",,"279,50","279,50",,"-27809,00",,9729,18,,"457,75",6,,1199,15,,332,,,1288,,,"1610,5",,,"947,25",,,8074,,,"1594,25",,,"967,25",,,80,,,"104,5",183,,28,"327,5",,,133,24,,2,,21,"278,5",,3,2,,1594,42,103,518,12,"135,5",155,12,17,"149,5",12,
trijp,,stuk,"0,00","0,00",,"117,00","117,00",,"0,00","0,00",,"117,00",,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trijp,,el,"16702,50","16702,50",,"1602,25","1602,25",,"5236,50","5236,50",,"-15100,25",,209,1019,,11,"268,5",,"216,5",34,,561,15,,,,,490,,,"14,5","126,5",,20,,,"36,5",,,,110,,"1206,5",,3478,"2275,5",,,"1330,75",10,,,,1614,,10,,"67,75","2,75",,50,,,"2477,5",,,"338,5",,10,"6590,5",,"134,5",807,"6,5",
saai (witte),,stuk,"0,00","0,00",,"0,00","0,00",,"0,00","0,00",,"0,00",niet in 5776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
saai (witte),,el,"68056,50","68056,50",,"39,50","39,50",,"0,00","0,00",,"-68017,00",,,,,"65954,5",,,,5,,1722,,,,,,,,,,,,,,,,,,380,"29,5",,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
saai (geverfde),,stuk,"12,00","12,00",,"1339,50","1339,25",,"0,00","0,00",,"1327,50",,,,,,,,,,,,713,,,,,,,,,"384,25",,,242,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
saai (geverfde),,el,"908488,00","908488,00",,"819,00","819,00",,"12,00","12,00",,"-907669,00",,,,,,,,,,,15468,,,26543,,,,,,857794,"368,5",,"3936,5",,,,230,,,68,,,,,,,,"1,5",,,,,,,,,28,,,90,"92,5",,,,,,,,4297,,12,330,60,
sargie,,stuk,"11,00","11,00",,"8,50","8,50",,"164,00","164,00",,"-2,50",,1,3,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,"5,5",,,,,,,,,,1,,,,,,,,,,,,,,,33,,,,,,
sargie,,el,"63607,13","63607,13",,"54,75","54,75",,"1409,25","1409,25",,"-63552,38",,,,,"4,125",,,963,,,2121,,,,,,22,"7,5",,42408,10,,12628,30,,,,,132,3,,36,,,2,,,169,"4,25",,,,1100,24,,,"9,5",,,,,,"1657,5",,"191,25",45,,,3376,,118,10,,
calmande,,stuk,"0,00","0,00",,"134,00","134,00",,"16,50","16,50",,"134,00",,,"116,5",,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,"9,5",8,,,,,,,,,"8,5",,,,,7,,,,,,,,,,,,,,,,
calmande,,el,"29179,50","29179,50",,"1410,00","1410,00",,"2508,00","2508,00",,"-27769,50",,57,39,,,64,,,,,63,,,,,,"234,5",,,8,,,25728,,,,,,381,6,,"825,75",,1633,36,868,108,"6,5",326,,,,446,,,,8,,6,"0,75",107,,30,,,,,,1763,,315,38,,
kamelot,,stuk,"0,00","0,00",,"18,00","18,00",,"706,00","706,00",,"18,00",,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,705,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,
kamelot,,el,"5009,25","5009,25",,"537,75","537,75",,"225,00","225,00",,"-4471,50",,"62,25",215,,6,7,,330,,,,,,,,,"154,5",,,,48,,1979,34,,,,,1181,"39,75",,"743,5",60,125,490,,,8,53,,,,,,,,24,,,20,81,,,,,,,,11,,100,,,
tirentein en messolaan,,el,"628,50","628,50",,"956,50","956,50",,"2341,00","2341,00",,"328,00",,,,,,43,,"7,5",54,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,61,320,87,707,53,,,,297,,473,21,65,,216,"3,5",1495,,,
laken (geglansd),,stuk,"0,00","0,00",,"217,50","217,50",,"0,00","0,00",,"217,50",,,"41,5",,,,,,8,,,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
laken (geglansd),,el,"104,00","104,00",,"1153,00","1153,00",,"0,00","0,00",,"1049,00",,,,,40,126,,,858,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,112,,,14,,,,,,16,,,,,,,,,,,64,,
wollen cr_pe (floers),,stuk,"13,00","13,00",,"3,00","3,00",,"0,00","0,00",,"-10,00",,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,8,,,,,,,,,,,
wollen cr_pe (floers),,el,"12128,00","12128,00",,"6,00","6,00",,"0,00","0,00",,"-12122,00",,,,,,,,9947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,1648,,,533,,,,,,,,
gaas van zijde,,stuk,"23,00","23,00",,"45,00","45,00",,"0,00","0,00",,"22,00",,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,2,,,2,,,,,
gaas van zijde,,el,"13464,50","13464,50",,"785,00","785,00",,"2977,00","2977,00",,"-12679,50",,,,,,,,,,,,,,,,,,,,,,,72,80,,,,,,225,,"7275,5",,2977,169,,,149,,,,,,,,,,,,30,,,5619,480,,30,,,35,,,85,,
gaas van garen en zijde,,stuk,"0,00","0,00",,"0,00","0,00",,"0,00","0,00",,"0,00",niet in 5776 of 5777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gaas van garen en zijde,,el,"44491,00","44491,00",,"812,00","812,00",,"1579,00","1579,00",,"-43679,00",,21593,750,1579,,,,,,,,,,,,,,,,,,,,,,,,,,,,6702,,,1030,,,14680,,,,,,,,,40,34,,188,,,,,,,,,,,,258,28,
gaas van garen,,stuk,"3,00","0,00",,"0,00","0,00",,"0,00","0,00",,"-3,00",niet in 5776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gaas van garen,,el,"2119,50","2219,50",,"0,00","0,00",,"245,50","245,50",,"-2119,50",,,,,121,,,,,,60,,,160,,,,,,,,,390,,,,,,,,,70,,242,250,,,31,,,,,,,,,,,,"208,5",,,40,,"3,5",,,,772,,,117,,
