Product,Original French name,Dutch translation,unit of measure,Import 1759,Export 1759,Import 1760,Export 1760,Import 1761,Export 1761,Transit 1761,Import 1762,Export 1762,Transit 1762,Import 1763,Export 1763,Transit 1763,Import 1764,Export 1764,Transit 1764,Import 1765,Export 1765,Transit 1765,Import 1766,Export 1766,Transit 1766,Import 1767,Export 1767,Transit 1767,Import 1768,Export 1768,Transit 1768,Import 1769,Export 1769,Transit 1769,Import 1770,Export 1770,Transit 1770,Import 1771,Export 1771,Transit 1771,Import 1772,Export 1772,Transit 1772,Import 1773,Export 1773,Transit 1773,Import 1774,Export 1774,Transit 1774,Import 1775,Export 1775,Transit 1775,Import 1776,Export 1776,Transit 1776,Import 1777,Export 1777,Transit 1777,Import 1778,Export 1778,Transit 1778,Import 1779,Export 1779,Transit 1779,Import 1780,Export 1780,Transit 1780,Import 1781,Export 1781,Transit 1781,Import 1782,Export 1782,Transit 1782,Import 1783,Export 1783,Transit 1783,Import 1784,Export 1784,Transit 1784,Import 1785,Export 1785,Transit 1785,Import 1786,Export 1786,Transit 1786,Import 1787,Export 1787,Transit 1787,Import 1788,Export 1788,Transit 1788,Import 1789,Export 1789,Transit 1789,Import 1790,Export 1790,Transit 1790,Import 1791,Export 1791,Transit 1791
swords,épées,degens,pieces,4,4,...,...,51,0,63,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
swords,épées,degens,guilders,150,176,...,...,874,0,955,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
swords masquinées,épées masquinées,degens (masquiné),pieces,...,...,...,...,0,0,11,7,0,16,1,1,3,1,1,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
swords masquinées,épées masquinées,degens (masquiné),guilders,...,...,...,...,...,...,...,140,0,65,20,17,220,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
swords mounted in steel,épées montées en acier,degens (gewone in staal),pieces,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,43,0,516,93,1,25,257,42,6,50,5,0,6,145,13,19,0,16,23,4,1,21,0,0,55,0,0,298,29,1,281,79,1,125,38,1,177,51,0,127,4,0,56,183,24,138,7,0,201,13,0,3,48,0,4,48,0,12,7,0,13,15,0,0,0,1,0,22,0,3,1,0,235,13,1,95,0,0,11,7,0
swords mounted in steel,épées montées en acier,degens (gewone in staal),guilders,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,300,0,0,537,3,162,140,0,0,459,0,0,0,0,360,54,0,111,71,0,0,50,0,0,0,0,0,0,0,0,85,94,9,603,0,15,851,312,0,411,36,0,0,0,0,0,0,0,0,0,0,0,1377,0,0,1389,0,0,0,0,60,0,0,0,0,0,33,0,0,8,4,0,3,0,0,341,0,0,44,5,0
silver swords,épées montées en argent,degens (zilver),pieces,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,232,2,9,173,36,609,51,0,1,35,0,0,2,0,0,0,5,0,0,0,0,100,0,0,0,0,0,189,0,0,3,0,6,0,0,0,0,0,0,1,0,0,8,0,0,5,2,2,4,0,3,13,0,1,0,0,0,0,0,0,0,0,0,12,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1
silver swords,épées montées en argent,degens (zilver),guilders,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1407,55,360,3,1,13,1166,0,53,789,0,0,50,0,654,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,104,0,148,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,550,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"swords, sabers and hunting knives","epées, sabres et couteaux de chasse",jachtmessen en sabels,pieces,111,7,617,16,203,8,9,358,3,1,499,30,374,889,186,28,381,146,76,111,53,11,112,197,0,48,191,0,29,0,1,43,20,1,448,55,0,72,3,0,82,156,22,137,628,0,57,50,42,126,176,0,89,126,0,33,298,0,34,160,24,26,173,6,236,194,70,112,152,0,101,2,0,42,0,0,17,0,1,6,20,1045,1116,3,3900,131,703,2,143,602,504,44697,17,2228,4940,2099,3387
"swords, sabers and hunting knives","epées, sabres et couteaux de chasse",jachtmessen en sabels,guilders,...,...,...,...,...,...,...,...,...,...,1177,0,365,...,...,...,1034,212,20,200,0,0,142,0,0,0,0,0,…,…,…,238,0,20,0,0,0,0,50,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,45,13,0,0,...,...,...,0,0,0,30,0,0
spurs,eperons  ,sporen,pair,214,12,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
spurs and stirrups,eperons et etriers,sporen en stijgbeugels,pair,...,...,668,0,751,3,360,"357,5",0,335,839,29,81,827,0,50,887,8,90,821,2,0,1048,21,6,938,6,166,1432,0,0,2048,18,3,985,20,6,550,16,0,1138,12,8,797,22,0,844,6,0,1275,0,2,753,9,0,1234,36,3,1325,12,72,202,2,0,681,3,12,547,6,65,748,264,10,418,0,0,1048,0,0,1415,3,26,859,12,0,114,0,0,79,6,0,984,0,10,92,18,0
spurs and stirrups,eperons et etriers,sporen en stijgbeugels,guilders,...,...,...,...,636,9,305,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
herbs (mixed),epiceries mellées,kruiden (gemengd),pounds,187,4271,"296,25","4958,5",215,"3592,75","712,13","1558,75",2799,"981,75",1647,"3981,25","5300,75","3043,81","1493,75",1740,"4379,75","1823,13","781,5","8445,5",1171,"2729,25","1751,5",1553,"2388,5","7629,13",1551,1606,"9005,35",5972,"1609,75","11081,63","6161,75","53459,75","10697,75","6492,5","10601,75","6833,56","2607,25",8920,"5592,02","2310,75","19834,19","5591,5","4865,38","10452,25","3875,5","2237,68",48521,"12012,75","2963,5","88737,25","5255,13","2051,75","55567,5","5125,13",1906,"48416,25","6370,38","2481,63",54076,"8638,81","2111,88","49104,5",4796,3557,350890,6562,1112,29775,"8202,5","1029,5","13106,5","8427,25","2318,5",15186,"15012,25",5089,19298,10509,2132,14350,"10314,5","4943,25","36526,5","7964,25","3403,63","11676,75","8869,5",5050,18495,"9647,75",1994,"28195,5","16105,5","3271,5",17023
herbs (mixed),epiceries mellées,kruiden (gemengd),guilders,"1867,7","1089,25","2612,1",2051,"1648,25","1527,55",2339,"2173,7",2062,7719,"1175,15","1643,5","3872,5",1294,1875,3877,2283,969,1128,2125,574,584,6751,1016,98,1815,991,212,1983,755,199,2261,48,521,2016,1808,182,1063,1064,150,1434,1483,210,4090,546,387,4045,1582,185,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
pins,epingles,spelden,pounds,...,...,"8700,13",1406,"8119,38",938,"3082,75","8653,44","1294,5","3289,5","7053,75","1403,5","5675,5","9999,63","916,25","4692,5","10718,5",1582,"2906,25","12337,25",3152,"1214,5","12092,5","1114,88","535,25","12948,63","1395,75","2658,5","11542,5","1085,25","2837,38","13467,88","982,5","3633,5","14592,75","897,5","2670,75","13287,59","979,5",1820,"16217,75","1076,75","1880,5","16495,69","837,13","2829,25",14678,863,"2686,5","18337,38","786,25","3995,5",16219,"1437,5","1732,75","22270,5","29351,5","990,5",19337,"924,5","10539,25","17995,75","1233,75","7218,25",22524,929,6687,13958,1422,19750,"18043,25","678,63","5153,25","17212,75","605,38","2396,75","18827,75",974,"1493,25",21147,"1955,5","1943,25",10239,"472,25","683,5","9736,13","858,5","2318,75","9535,25","6486,25","3969,25","4992,75","3739,5",2153,"9798,5","661,75","1406,75"
"pins, regular",epingles communs,"spelden, gewone",pounds,"9266,06","2336,75",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"pins, copper",epingles en cuivre,"spelden, koper",pounds,60,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
sponges,eponges,sponzen,pounds,1014,6,"1086,75",0,"961,33",148,0,"1000,5",10,"454,5","1232,5",21,250,"1357,75","2,75",26,"797,75","4,5",406,1016,7,"1080,5","1909,5","29,75",0,"1650,75",61,2,"1739,5",212,"532,25",787,0,0,"900,63",0,428,"885,13","11,5",0,"924,25",27,212,"1203,69",0,225,"2072,5","12,5",677,"1660,5","397,25",0,"1770,75",3,808,"1561,25",10,226,"1465,13",56,560,1320,0,772,1736,3,1015,774,5,3168,2175,0,464,"1075,5","12,75",0,1438,1,0,1540,0,688,1893,11,"456,5",1975,0,599,"1608,5",7,24,1485,0,0,2741,19,0
sponges,eponges,sponzen,guilders,...,...,...,...,...,...,...,...,...,...,0,0,365,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
sea slugs,escargots et crekels,zeeslakken,tons,6,"1,75","76,25","3,5",41,"14,75","0,5",10,5,"0,5",10,"10,25",0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
haddock,esclephins,schelvis,baskets,"6370,75","118,33","211,5","421,42","1923,5","107,25",7,"651,83","108,61",5,"1981,25","244,25",6,"1611,25","383,38",0,"1006,25","168,88",0,"2418,63","439,25",0,"437,33","148,63",0,"240,25","133,25",0,216,"6,75",0,"257,08","15,63",0,"876,82","107,35",0,"618,5","48,1",0,1628,"67,06",0,"398,57","98,12",0,"895,78",118,0,"316,63","292,17",0,"220,25","59,25",0,"261,5","64,45",0,"288,25","44,38",0,107,"13,75",0,0,"16,5",0,23,54,0,"78,5","69,4",0,31,"33,25",5,"425,5","15,5","14,25","323,25","57,5",43,"748,33","93,25","153,5","142,25","52,25","2,5","293,88",69,0,"18,88","11,25",0,"174,5","14,75",0
salted haddock,esclephins salés,schelvis (gezouten),tons,"2,5",0,"20,5",0,"20,13","0,25",0,"41,25",0,0,"154,63","0,25",0,"173,25",0,0,"146,5",0,0,50,52,0,"98,17",0,0,"60,5",0,0,41,0,0,"38,3","24,75",0,"15,75",0,0,"41,79",0,0,"122,8",0,0,126,0,1,"300,63",0,0,62,0,0,3,0,0,"29,75",0,0,21,0,0,"189,25",0,0,46,0,0,19,18,0,"435,17",0,0,"350,25",0,0,"422,75","1,25",0,"150,25",0,0,"862,58","0,75",0,632,1,0,361,0,0,"106,35",2,0,"809,33","4,75",0
coal (escrabille),escrabille,steenkool (terre houille - escrabille),"""charrée""",0,39,2,"22,08",0,"41,58",0,0,"91,75",0,0,23,0,0,83,0,0,4,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
sea lobsters,escrevisses de mer,zeekreeften,pieces,...,...,117537,8614,155142,8686,404,91358,11338,11900,140902,10127,1800,118394,10813,16,72360,8769,0,118456,12209,57,88147,3699,0,10162,4858,0,141756,16055,0,163309,22821,0,148006,9456,0,232875,11227,0,159984,11756,0,144845,9937,6,131258,9440,0,125848,7169,0,20289,10519,0,93404,10353,0,120493,16376,0,71900,7023,0,25885,7048,0,203,1251,1,62,1335,0,47,1730,82,40,3804,143,7794,3870,348,23249,9103,376,25396,8377,121,736,1880,12,2198,2522,0,1039,773,0
sea lobsters,escrevisses de mer,zeekreeften*,guilders,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,…,…,…,…,…,…,…,…,…,5536,0,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
sea lobsters,escrevisses de mer,zeekreeften,baskets,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,…,…,…,"362,42",0,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
river lobsters,escrevisses de rivière,rivierkreeften,pieces,...,...,...,...,...,...,...,...,...,...,...,...,...,0,0,11000,...,...,...,...,...,...,...,...,...,19704,62535,27750,7915,86394,34500,34620,99639,29400,10980,94472,24250,7500,53813,43040,3159,57050,25150,10425,67820,24200,22450,42050,10200,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
river lobsters,escrevisses de rivière,rivierkreeften,baskets,...,...,...,...,"366,17","62,63","10,33",...,...,...,"213,92","1,92","15,25",...,...,...,"126,71","189,63","68,58","490,5",795,"99,5","120,38","569,5","52,5",…,…,…,…,…,…,…,…,…,"279,38","0,46","0,5","387,33","0,17","0,46","58,21","1,17","2,75","44,88","0,17","0,67","65,5",0,"0,81","60,83","75,13","17,5","117,83","119,63",21,"276,08","104,38","28,83","354,54","52,96","3,83","68,96","117,19","13,5",109,149,15,154,811,37,"38,29","266,63","16,13","236,5","151,75","40,88","172,75","63,75","6,5","201,92","62,25","6,5","58,24","93,63","0,33","47,85","118,5","1,63","52,5","73,38","35,25",32,"49,88",12,"71,46","94,13",48
river lobsters,escrevisses de rivière,rivierkreeften,tons,"311,58","27,75","313,5","70,58",...,...,...,"248,63","33,29","12,06",...,...,...,"99,5","27,17","37,67",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
espagnolettes,espagnolettes,espagnolettes,ell,40,0,...,...,82,0,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
espagnolettes / el,espagnolettes,espagnolettes / el,guilders,40,0,...,...,98,0,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
dried or smoked sprat,esprots fumés,sprot (gedroogd of gerookt),tons,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,…,…,…,…,…,…,…,…,…,…,…,…,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"1,17",0,0,"0,75",0,0,"1,06",0,0,"1,83",0,0,"0,17",0,0,"0,83",0,0,0,0,0,0,0,0,0,0,0
esquinne,esquinne,esquinne,pounds,...,...,...,...,"299,25",4,4,...,...,...,124,0,0,170,0,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
esquinne,esquinne,esquinne,guilders,...,...,...,...,...,...,...,...,...,...,23,0,0,67,0,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
wood ash extracts,essence de cendre de bois,houtas-extract (zouten),tons,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,…,…,…,…,…,…,…,…,…,…,…,…,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0,0,20,0,0,2,"98,17","8,33",37,"90,5",0,"52,5","74,29","8,67","13,33",57,7,7,6,0,0,"38,67",3,"1,5","33,83",170,"20,33",48,"125,33","22,83","24,5","23,25","29,5","11,75",0,27,"33,5",0,"59,83",70,"1,5",15,27,"5,17","31,33","23,75",0,"11,33"
axles,essieux,wagenassen,pieces,31,1107,65,1566,128,2311,204,671,356,156,35,5021,481,246,2230,209,304,2414,26,122,2002,6,167,1995,4605,204,1606,0,169,1966,0,78,1317,264,168,1099,10,153,1493,0,206,1562,0,51,1400,2,121,1684,79,72,1861,2,43,1115,6,13,1150,0,17,1064,0,63,2014,10,56,855,0,21,1146,0,59,791,0,55,1234,1,11,893,13,38,1246,0,36,1149,240,25,959,0,18,818,23,27,763,58,23,878,128
marinated sturgeon,esturgeon en adaube,gemarineerde steur,barrels,0,12,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
marinated sturgeon,esturgeon en adaube,gemarineerde steur,guilders,13,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
sturgeon,esturgeons,steur,pieces,50,96,46,89,44,71,0,53,103,0,73,148,0,"6,25",257,0,5,95,0,88,357,0,27,38,0,40,319,0,65,"203,5",0,34,74,0,1,"297,25",0,21,"152,25",0,50,237,0,11,"248,25",0,11,282,0,15,262,0,11,219,0,36,311,0,16,377,0,35,384,0,20,188,0,20,197,0,3,124,0,55,125,20,11,179,34,0,138,24,463,"134,75","0,25",94,150,0,146,168,0,59,118,18,"88,5",59,0
salted sturgeon,esturgeons salés,steur (gezouten),tons,3,96,"1,1","0,5",0,0,"0,75","0,4","0,13",0,"0,07","0,5",0,0,0,0,"82,88",2,0,"0,25",52,0,0,"1,38",0,0,"3,13",0,…,…,…,0,"1,88",0,0,0,0,"1,19",1,0,0,0,0,0,3,0,0,0,0,"1,67","0,5",0,"0,5","0,38",0,0,78,0,0,0,0,0,"1,13",0,0,1,0,0,0,0,0,1,0,"0,92","0,63",0,"0,25","0,5",0,"1,5",1,1,0,"0,75","0,75","0,2","1,38","0,25",0,0,"1,25",0,0,0,3,0,0
tin (in blocks),etain en bloc,tin (in blok),pounds,165930,3300,"219063,5",18724,"192324,5",9252,13461,"145054,5",5552,15615,"137654,5",5609,17292,"127641,5",1788,11633,"213965,5","1229,5",2001,"202944,5",823,7617,206576,1564,6402,197859,"6088,5",6253,"229133,5","2845,5",13925,"144470,5",5616,15329,"234450,5",941,1340,"178548,5",3308,378,"229949,5",3268,1435,236756,1146,73016,182472,1489,121968,"191855,75",2835,37104,203320,4173,31622,200514,"4777,5",38853,194655,"3942,5",115682,172520,996,647912,144335,12662,653224,235652,13527,207792,122582,2207,212556,99428,871,15197,67563,433,39286,104426,449,17413,61368,1123,48500,90591,949,56722,"92212,25",17178,39978,37790,"1169,5",36307,64716,"691,5",86284
tin (worked),etain ouvré,tin (bewerkt),pounds,21745,3740,"20508,5","4077,75","23115,75","3585,75","4394,75",24660,4336,"6739,25",18420,"4694,5","9412,75",21587,"4007,5","8557,75",20573,5935,"13227,25","27008,5","5397,5",2787,"27284,25",6106,"8998,25","30135,75","7764,75","5073,63",37716,5630,3369,"37211,5",5906,2322,"25638,17","4788,5","3308,75","30290,75","4625,75",1584,"28089,75","5636,75","4394,5","25832,25","11621,5","705,25","21536,25",7843,3048,21096,6045,3724,"25258,5","4997,75","1764,5",25657,4661,"1639,5",26952,8507,"3933,75","27933,63",6656,1663,20947,5202,13533,22442,8895,3313,20974,8941,"3058,5",21506,7317,"1651,5",14590,4498,1101,14839,6607,"4204,5","17183,38",7216,"3322,5","20320,25",5854,1446,"20405,75",7306,"1293,5","14776,75","7013,5",1375,22681,"4323,5","486,5"
etamettes,etamettes  ,laken (etamettes),pieces,...,...,"64,5",0,"69,88",0,0,101,0,4,"99,92","14,75",0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
etamettes,etamettes  ,laken (etamettes),ell,"1662,5","451,25","6442,75",467,1176,5,912,"5707,5",0,3223,11291,"62,5",439,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
etamettes,etamettes  ,laken (etamettes) / el,guilders,...,...,...,...,958,3,557,...,...,...,4424,60,247,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
etamettes dauphines casinettes,etamettes dauphines casinettes,laken (etamettes dauphines casinettes),ell,...,...,...,...,...,...,...,...,...,...,...,...,...,7835,"1241,5",3250,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
etamettes dauphines casinettes,etamettes dauphines casinettes,laken (etamettes dauphines casinettes) / el,guilders,...,...,...,...,...,...,...,...,...,...,...,...,...,5257,0,2149,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
etamine,etamine,ettemijn,pieces,3,1,"8,25",0,28,0,367,"0,5","0,5","25,5",15,12,1933,...,...,...,...,...,...,...,...,...,…,…,…,…,…,…,…,…,…,…,…,…,...,...,...,"134,88",12,7,158,10,0,"158,88",0,0,"63,25",0,1,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
etamine,etamine,ettemijn,ell,...,...,56284,428,25073,43,1478,4507,1000,4551,18428,264,"8883,25","5370,5",209,381,...,...,...,...,...,...,…,…,…,…,…,…,…,…,…,…,…,…,...,...,...,1975,18,3146,3818,836,4086,"2825,5",202,1798,"2221,5",624,2623,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
etamine,etamine,ettemijn,guilders,...,...,170,0,366,0,1049,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
etamine,etamine,ettemijn / el,guilders,...,...,33133,248,17443,30,1007,0,0,1260,9009,501,4834,2900,0,365,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
